stanza_num,line_num,line_txt,linepart_num,parse_rank,parse_txt,parse_meter,parse_stress,sent_num,sentpart_num,wordtoken_num,wordtoken_txt,meterpos_num,meterslot_num,meterslot_txt,parse_score,parse_num_viols,parse_ambig,parse_is_bounded,meterpos_meter_val,*w_stress,*s_unstress,*unres_within,*unres_across,*w_peak
1,1,the dog went to the dog school,1,1,the DOG.WENT to.the DOG school,-++--+-,-++--++,1,1,1,the,1,1,the,2.0,2,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,1,the DOG.WENT to.the DOG school,-++--+-,-++--++,1,1,2, dog,2,1,DOG,2.0,2,4,0,s,0,0,0,0,0
1,1,the dog went to the dog school,1,1,the DOG.WENT to.the DOG school,-++--+-,-++--++,1,1,3, went,2,2,WENT,2.0,2,4,0,s,0,0,0,1,0
1,1,the dog went to the dog school,1,1,the DOG.WENT to.the DOG school,-++--+-,-++--++,1,1,4, to,3,1,to,2.0,2,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,1,the DOG.WENT to.the DOG school,-++--+-,-++--++,1,1,5, the,3,2,the,2.0,2,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,1,the DOG.WENT to.the DOG school,-++--+-,-++--++,1,1,6, dog,4,1,DOG,2.0,2,4,0,s,0,0,0,0,0
1,1,the dog went to the dog school,1,1,the DOG.WENT to.the DOG school,-++--+-,-++--++,1,1,7, school,5,1,school,2.0,2,4,0,w,1,0,0,0,0
1,1,the dog went to the dog school,1,2,the DOG.WENT to.the DOG.SCHOOL,-++--++,-++--++,1,1,1,the,1,1,the,2.0,2,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,2,the DOG.WENT to.the DOG.SCHOOL,-++--++,-++--++,1,1,2, dog,2,1,DOG,2.0,2,4,0,s,0,0,0,0,0
1,1,the dog went to the dog school,1,2,the DOG.WENT to.the DOG.SCHOOL,-++--++,-++--++,1,1,3, went,2,2,WENT,2.0,2,4,0,s,0,0,0,1,0
1,1,the dog went to the dog school,1,2,the DOG.WENT to.the DOG.SCHOOL,-++--++,-++--++,1,1,4, to,3,1,to,2.0,2,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,2,the DOG.WENT to.the DOG.SCHOOL,-++--++,-++--++,1,1,5, the,3,2,the,2.0,2,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,2,the DOG.WENT to.the DOG.SCHOOL,-++--++,-++--++,1,1,6, dog,4,1,DOG,2.0,2,4,0,s,0,0,0,0,0
1,1,the dog went to the dog school,1,2,the DOG.WENT to.the DOG.SCHOOL,-++--++,-++--++,1,1,7, school,4,2,SCHOOL,2.0,2,4,0,s,0,0,0,1,0
1,1,the dog went to the dog school,1,3,the DOG went TO the DOG school,-+-+-+-,-++--++,1,1,1,the,1,1,the,3.0,3,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,3,the DOG went TO the DOG school,-+-+-+-,-++--++,1,1,2, dog,2,1,DOG,3.0,3,4,0,s,0,0,0,0,0
1,1,the dog went to the dog school,1,3,the DOG went TO the DOG school,-+-+-+-,-++--++,1,1,3, went,3,1,went,3.0,3,4,0,w,1,0,0,0,0
1,1,the dog went to the dog school,1,3,the DOG went TO the DOG school,-+-+-+-,-++--++,1,1,4, to,4,1,TO,3.0,3,4,0,s,0,1,0,0,0
1,1,the dog went to the dog school,1,3,the DOG went TO the DOG school,-+-+-+-,-++--++,1,1,5, the,5,1,the,3.0,3,4,0,w,0,0,0,0,0
1,1,the dog went to the dog school,1,3,the DOG went TO the DOG school,-+-+-+-,-++--++,1,1,6, dog,6,1,DOG,3.0,3,4,0,s,0,0,0,0,0
