,Unnamed: 0,chunk,punctuation_mark,word_count,source_file
0,0,Long,", ",1,data/lang_violet.html
1,1,long ago there stood in the midst of a country covered with lakes a vast stretch of moorland called the Tontlawald,", ",21,data/lang_violet.html
2,2,on which no man ever dared set foot,. ,8,data/lang_violet.html
3,3,From time to time a few bold spirits had been drawn by curiosity to its borders,", ",16,data/lang_violet.html
4,4,and on their return had reported that they had caught a glimpse of a ruined house in a grove of thick trees,", ",22,data/lang_violet.html
5,5,and round about it were a crowd of beings resembling men,", ",11,data/lang_violet.html
6,6,swarming over the grass like bees,. ,6,data/lang_violet.html
7,7,The men were as dirty and ragged as gipsies,", ",9,data/lang_violet.html
8,8,and there were besides a quantity of old women and half-naked children,. ,12,data/lang_violet.html
9,9,One night a peasant who was returning home from a feast wandered a little farther into the Tontlawald,", ",18,data/lang_violet.html
10,10,and came back with the same story,. ,7,data/lang_violet.html
11,11,A countless number of women and children were gathered round a huge fire,", ",13,data/lang_violet.html
12,12,and some were seated on the ground,", ",7,data/lang_violet.html
13,13,while others danced strange dances on the smooth grass,. ,9,data/lang_violet.html
14,14,One old crone had a broad iron ladle in her hand,", ",11,data/lang_violet.html
15,15,with which every now and then she stirred the fire,", ",10,data/lang_violet.html
16,16,but the moment she touched the glowing ashes the children rushed away,", ",12,data/lang_violet.html
17,17,shrieking like night owls,", ",4,data/lang_violet.html
18,18,and it was a long while before they ventured to steal back,. ,12,data/lang_violet.html
19,19,And besides all this there had once or twice been seen a little old man with a long beard creeping out of the forest,", ",24,data/lang_violet.html
20,20,carrying a sack bigger than himself,. ,6,data/lang_violet.html
21,21,The women and children ran by his side,", ",8,data/lang_violet.html
22,22,weeping and trying to drag the sack from off his back,", ",11,data/lang_violet.html
23,23,but he shook them off,", ",5,data/lang_violet.html
24,24,and went on his way,. ,5,data/lang_violet.html
25,25,There was also a tale of a magnificent black cat as large as a foal,", ",15,data/lang_violet.html
26,26,but men could not believe all the wonders told by the peasant,", ",12,data/lang_violet.html
27,27,and it was difficult to make out what was true and what was false in his story,. ,17,data/lang_violet.html
28,28,However,", ",1,data/lang_violet.html
29,29,the fact remained that strange things did happen there,", ",9,data/lang_violet.html
30,30,and the King of Sweden,", ",5,data/lang_violet.html
31,31,to whom this part of the country belonged,", ",8,data/lang_violet.html
32,32,more than once gave orders to cut down the haunted wood,", ",11,data/lang_violet.html
33,33,but there was no one with courage enough to obey his commands,. ,12,data/lang_violet.html
34,34,At length one man,", ",4,data/lang_violet.html
35,35,bolder than the rest,", ",4,data/lang_violet.html
36,36,struck his axe into a tree,", ",6,data/lang_violet.html
37,37,but his blow was followed by a stream of blood and shrieks as of a human creature in pain,. ,19,data/lang_violet.html
38,38,The terrified woodcutter fled as fast as his legs would carry him,", ",12,data/lang_violet.html
39,39,and after that neither orders nor threats would drive anybody to the enchanted moor,. ,14,data/lang_violet.html
40,40,A few miles from the Tontlawald was a large village,", ",10,data/lang_violet.html
41,41,where dwelt a peasant who had recently married a young wife,. ,11,data/lang_violet.html
42,42,As not uncommonly happens in such cases,", ",7,data/lang_violet.html
43,43,she turned the whole house upside down,", ",7,data/lang_violet.html
